indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.823,—,1.434,11.324,49.357,60.253,115.9,30.193
Non-Indigenous,—,—,—,0.101,1.323,4.842,8.202,8.507,2.849
Total,—,—,—,0.129,1.534,5.798,9.331,10.809,3.426
