indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,5.163,—,58.44,80.348,62.252,—,n.p.,145.156,42.625
First Nations,14–17 years,282.33,155.094,435.143,512.257,453.524,225.282,518.417,896.418,392.331
First Nations,10–17 years,143.827,80.946,249.709,297.689,262.731,124.815,392.873,519.104,219.382
Non-Indigenous,10–13 years,0.286,0.243,2.1,1.778,1.315,n.p.,—,—,0.957
Non-Indigenous,14–17 years,17.981,14.675,21.974,31.035,22.397,49.636,40.22,30.443,20.802
Non-Indigenous,10–17 years,9.134,7.405,12.162,16.318,11.932,26.483,27.479,14.82,10.927
Total,10–13 years,0.673,0.357,7.038,7.157,4.531,3.807,6.967,60.598,3.721
Total,14–17 years,39.434,17.774,58.789,64.752,46.697,71.287,55.893,412.192,46.23
Total,10–17 years,20.057,9.003,33.244,35.804,25.786,38.487,39.294,229.16,25.086
