indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,7.6,0.4,67.2,19.2,7.3,2,2.2,n.a.,105.9
First Nations,14–17 years,502.9,52.7,722.7,240.1,108.8,40.7,19,n.a.,1686.9
First Nations,18+ years,57.7,44.1,204.7,44.4,16.2,16.6,6.2,n.a.,389.9
First Nations,Total,568.3,97.1,994.6,303.7,132.4,59.3,27.4,n.a.,2182.8
Non—Indigenous,10–13 years,4.5,1,19,7.6,1.6,1.6,0.3,n.a.,35.6
Non—Indigenous,14–17 years,377.2,245.3,329.3,170.7,84.5,65.5,42.2,n.a.,1314.8
Non—Indigenous,18+ years,56.4,201,209.2,34.1,21.1,35.3,19.4,n.a.,576.7
Non—Indigenous,Total,438.1,447.3,557.5,212.4,107.3,102.5,61.9,n.a.,1927
Not stated,10–13 years,0.2,—,—,—,—,0.1,—,n.a.,0.3
Not stated,14–17 years,25.8,0.6,4,—,2.7,0.3,—,n.a.,33.3
Not stated,18+ years,2.2,—,0.6,—,0.8,0.3,—,n.a.,3.8
Not stated,Total,28.2,0.6,4.5,—,3.5,0.7,—,n.a.,37.5
Total,10–13 years,12.3,1.4,86.2,26.7,9,3.7,2.5,n.a.,141.8
Total,14–17 years,905.9,298.5,1056,410.8,196,106.5,61.2,n.a.,3035
Total,18+ years,116.3,245.1,414.4,78.6,38.2,52.3,25.6,n.a.,970.5
Total,Total,1034.5,545,1556.6,516.2,243.1,162.5,89.3,n.a.,4147.3
