socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
1 (lowest),149517,100025,157264,41483,62991,27299,40,7477,538682,546159
2,192872,115875,124788,80314,31155,11863,—,4936,557284,562220
3,112471,174263,141639,60771,41922,6718,—,4929,537784,542713
4,143762,152889,92668,76667,27173,6798,10266,9449,510223,519672
5 (highest),228646,119629,65136,39297,14231,1491,22786,401,491216,491617
