year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
Dec 2016,First Nations,53716,11452,42122,17962,7709,5236,1404,12048,139600,151648
Dec 2016,Non-Indigenous,680582,560570,453300,229577,151410,44924,34895,13207,2155257,2168464
Dec 2016,Total,734298,572022,495421,247539,159119,50159,36299,25255,2294857,2320112
Dec 2017,First Nations,55247,11859,43826,18478,7981,5462,1422,12057,144275,156332
Dec 2017,Non-Indigenous,690274,571963,462002,233926,152592,45065,36148,13505,2191970,2205475
Dec 2017,Total,745521,583821,505828,252404,160573,50527,37570,25562,2336244,2361806
Dec 2018,First Nations,56642,12242,45401,19051,8304,5680,1445,12028,148764,160792
Dec 2018,Non-Indigenous,700434,583796,471130,239001,154242,45548,37342,13853,2231492,2245345
Dec 2018,Total,757076,596037,516531,258052,162545,51228,38787,25880,2380256,2406136
Dec 2019,First Nations,57986,12562,46883,19593,8634,5874,1452,11980,152982,164962
Dec 2019,Non-Indigenous,712516,596208,481311,245445,156594,46181,38442,14025,2276695,2290720
Dec 2019,Total,770502,608770,528193,265037,165227,52055,39893,26005,2429677,2455682
Dec 2020,First Nations,59275,12892,48277,20080,8918,6016,1442,11908,156898,168806
Dec 2020,Non-Indigenous,723423,603199,491320,252652,158654,46803,39674,14450,2315723,2330173
Dec 2020,Total,782698,616090,539596,272732,167572,52818,41115,26358,2472621,2498979
Dec 2021,First Nations,60469,13204,49557,20493,9161,6125,1441,11780,160449,172229
Dec 2021,Non-Indigenous,735412,610959,501470,258800,160564,47361,40917,14692,2355482,2370174
Dec 2021,Total,795880,624162,551027,279293,169725,53486,42357,26472,2515930,2542402
Dec 2022,First Nations,61423,13552,50536,20722,9366,6185,1467,11643,163250,174893
Dec 2022,Non-Indigenous,750174,626260,512907,266236,163799,47823,41960,15234,2409158,2424392
Dec 2022,Total,811597,639812,563442,286957,173164,54008,43427,26877,2572407,2599284
Dec 2023,First Nations,61953,13864,50989,20791,9491,6164,1091,8616,164341,172957
Dec 2023,Non-Indigenous,762537,642281,523591,274059,166900,47959,31861,11362,2449186,2460548
Dec 2023,Total,824489,656144,574579,294850,176391,54123,32951,19977,2613527,2633504
Dec 2024,First Nations,62019,13960,51100,20794,9554,6089,1095,11385,164609,175994
Dec 2024,Non-Indigenous,769627,653606,530355,279450,168452,47955,32753,16194,2482196,2498390
Dec 2024,Total,831646,667566,581454,300243,178005,54044,33847,27579,2646805,2674384
