indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,2.9,0.4,50.6,15.4,5.8,1.6,1.5,n.a.,78.2
First Nations,14–17 years,393.7,41.8,537,200.6,91.3,36.5,14.3,n.a.,1315.2
First Nations,18+ years,35.5,36.4,198.1,43.4,15.2,15.5,5.2,n.a.,349.3
First Nations,Total,432.1,78.6,785.7,259.5,112.3,53.6,20.9,n.a.,1742.7
Non-Indigenous,10–13 years,2.5,0.8,14.2,6.9,1.2,1.3,0.3,n.a.,27.2
Non-Indigenous,14–17 years,315.2,185.4,254.4,145,68.4,56.6,31.3,n.a.,1056.2
Non-Indigenous,18+ years,32.5,154.2,205.2,33.6,18.4,35,18.4,n.a.,497.2
Non-Indigenous,Total,350.2,340.4,473.8,185.4,88.1,92.9,50,n.a.,1580.6
Not stated,10–13 years,0.2,—,—,—,—,0.1,—,n.a.,0.3
Not stated,14–17 years,25.1,0.4,3.7,—,2.3,0.3,—,n.a.,31.8
Not stated,18+ years,1.4,—,0.6,—,0.8,0.3,—,n.a.,3
Not stated,Total,26.6,0.4,4.3,—,3.1,0.7,—,n.a.,35.1
Total,10–13 years,5.6,1.2,64.9,22.3,7,3,1.7,n.a.,105.7
Total,14–17 years,733.9,227.5,795.1,345.6,162.1,93.4,45.6,n.a.,2403.2
Total,18+ years,69.4,190.7,403.8,77,34.4,50.8,23.5,n.a.,849.5
Total,Total,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4
