sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,130.8,16.7,184.3,43.2,17.6,5,5.5,40.2,443.3
Male,Non-Indigenous,83.3,106.1,74.2,25.3,17.1,8.1,11.6,2,327.7
Male,Not stated,1.5,0.2,0.1,—,0.4,—,—,1.4,3.6
Male,Total,215.6,123,258.6,68.5,35,13.1,17.1,43.6,774.6
Female,First Nations,8.9,2.3,30.2,3.4,3.9,0.9,1.2,2.9,53.6
Female,Non-Indigenous,6.7,3.3,11.7,3.6,3.1,1.8,0.9,—,31
Female,Not stated,0.1,—,0.1,—,—,—,—,—,0.3
Female,Total,15.7,5.6,42,7,7,2.7,2,2.9,84.9
Not stated,First Nations,—,—,—,—,—,—,—,—,-
Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,0.1
Not stated,Not stated,—,—,—,—,—,—,—,—,-
Not stated,Total,—,—,—,—,—,—,—,—,0.1
Total,First Nations,139.7,19,214.5,46.6,21.5,5.9,6.7,43.1,496.9
Total,Non-Indigenous,90,109.4,85.9,28.9,20.1,9.9,12.5,2,358.8
Total,Not stated,1.6,0.2,0.3,—,0.4,—,—,1.4,3.8
Total,Total,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
