indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,9,103,117,8,48,120,62,n.a.,34
Non-Indigenous,3,91,109,27,51,96,50,n.a.,48
Not stated,7,—,94,—,182,43,—,n.a.,14
Total,7,95,114,13,51,98,54,n.a.,40
First Nations,11,178,247,10,93,219,99,n.a.,73
Non-Indigenous,4,175,240,47,92,321,71,n.a.,92
Not stated,7,—,118,—,182,48,—,n.a.,17
Total,8,175,243,16,92,269,79,n.a.,84
First Nations,1332,132,899,1274,307,46,43,n.a.,4033
Non-Indigenous,1199,535,486,675,207,97,91,n.a.,3290
Not stated,87,—,6,—,3,3,—,n.a.,99
Total,2618,667,1391,1949,517,146,134,n.a.,7422
First Nations,899,117,807,737,237,41,34,n.a.,2872
Non-Indigenous,831,472,452,458,184,85,76,n.a.,2558
Not stated,79,—,6,—,3,3,—,n.a.,91
Total,1809,589,1265,1195,424,129,110,n.a.,5521
