year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,0.1,0.8,3.1,9.4,13.3,20,27.5,33.2,36.9,117.7,131,9.4,140.4
2020-21,Male,Non-Indigenous,—,—,0.4,2.4,2.8,7.7,16.4,17.7,21.7,63.5,66.3,5.3,71.6
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,0.1,0.1,0.4,0.5
2020-21,Male,Total,0.1,0.8,3.4,11.8,16.1,27.7,44,50.9,58.6,181.2,197.4,15.1,212.5
2020-21,Female,First Nations,—,—,0.4,2.1,2.6,3.2,3.2,1.7,4.1,12.3,14.8,1.1,15.9
2020-21,Female,Non-Indigenous,—,—,—,—,—,1.3,2.3,3.5,1.4,8.6,8.6,0.6,9.2
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,—,0.4,2.2,2.6,4.6,5.5,5.2,5.5,20.9,23.5,1.7,25.2
2020-21,Total,First Nations,0.1,0.8,3.5,11.5,15.9,23.3,30.8,34.9,41,130,145.9,10.5,156.4
2020-21,Total,Non-Indigenous,—,—,0.4,2.5,2.8,9,18.7,21.2,23.1,72.1,74.9,5.9,80.8
2020-21,Total,Not stated,—,—,—,—,—,—,—,—,—,0.1,0.1,0.4,0.5
2020-21,Total,Total,0.1,0.8,3.8,14,18.7,32.3,49.5,56.2,64.1,202.1,220.8,16.8,237.7
2021-22,Male,First Nations,—,0.4,3.7,10.7,14.7,22.8,37.3,42.6,43,145.7,160.4,9.7,170
2021-22,Male,Non-Indigenous,—,—,0.4,1.9,2.3,7.1,16.4,23.7,28.8,76.1,78.4,9.8,88.2
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Male,Total,—,0.4,4.1,12.6,17,29.9,53.7,66.3,71.8,221.7,238.8,19.5,258.2
2021-22,Female,First Nations,—,—,1,1.5,2.5,3.3,5,5,4.1,17.5,19.9,0.6,20.5
2021-22,Female,Non-Indigenous,—,—,—,0.1,0.2,1.1,2.3,3.3,3.2,9.9,10.1,0.4,10.5
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Female,Total,—,—,1,1.6,2.6,4.5,7.2,8.3,7.4,27.4,30,1.1,31.1
2021-22,Total,First Nations,—,0.4,4.6,12.2,17.2,26.1,42.3,47.6,47.1,163.1,180.3,10.3,190.6
2021-22,Total,Non-Indigenous,—,—,0.5,2,2.5,8.3,18.6,27,32.1,86,88.5,10.3,98.7
2021-22,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Total,Total,—,0.4,5.1,14.2,19.7,34.4,60.9,74.7,79.1,249.1,268.8,20.5,289.3
2022-23,Male,First Nations,—,0.6,2.1,11.8,14.5,25.7,37.5,49.6,48.1,160.9,175.5,13.4,188.8
2022-23,Male,Non-Indigenous,—,—,0.4,3,3.4,5.8,12.7,22.6,29.8,71,74.4,10.3,84.6
2022-23,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Male,Total,—,0.6,2.6,14.8,17.9,31.6,50.2,72.2,77.9,231.9,249.9,23.6,273.5
2022-23,Female,First Nations,—,—,0.9,1.7,2.6,4.4,7.2,7.6,6.4,25.7,28.3,1.1,29.4
2022-23,Female,Non-Indigenous,—,—,0.1,0.1,0.1,0.9,2.2,1.9,2.3,7.3,7.5,0.9,8.4
2022-23,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Female,Total,—,—,0.9,1.8,2.8,5.4,9.4,9.5,8.7,33,35.7,2.1,37.8
2022-23,Total,First Nations,—,0.6,3,13.6,17.1,30.2,44.7,57.2,54.5,186.6,203.8,14.5,218.3
2022-23,Total,Non-Indigenous,—,—,0.5,3,3.5,6.8,14.8,24.6,32.1,78.3,81.8,11.2,93
2022-23,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Total,Total,—,0.6,3.5,16.6,20.7,37,59.5,81.8,86.6,264.9,285.6,25.7,311.3
2023-24,Male,First Nations,0.1,1.4,2.9,10.3,14.7,24.9,37.6,47.2,58.1,167.8,182.5,13.2,195.6
2023-24,Male,Non-Indigenous,—,—,0.1,2.8,2.9,7.6,12.7,22.8,26.9,70,72.9,10.9,83.8
2023-24,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Male,Total,0.1,1.4,3,13.2,17.6,32.5,50.3,70,85,237.8,255.4,24.1,279.5
2023-24,Female,First Nations,—,—,0.4,1.5,1.9,6.4,7.4,6,7.8,27.6,29.5,1.9,31.5
2023-24,Female,Non-Indigenous,—,—,0.1,0.5,0.5,0.8,2.2,2,2.9,8,8.5,0.2,8.6
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Total,—,—,0.5,2,2.5,7.2,9.6,8,10.7,35.5,38,2.1,40.1
2023-24,Total,First Nations,0.1,1.4,3.4,11.8,16.6,31.3,45,53.2,65.9,195.3,212,15.1,227.1
2023-24,Total,Non-Indigenous,—,—,0.1,3.3,3.4,8.4,14.9,24.9,29.8,78,81.4,11,92.4
2023-24,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Total,Total,0.1,1.4,3.5,15.2,20.1,39.7,59.9,78,95.7,273.3,293.4,26.2,319.6
2024-25,Male,First Nations,—,0.2,3.4,10,13.5,22.1,38.2,53.5,50.4,164.2,177.7,6.6,184.3
2024-25,Male,Non-Indigenous,—,—,0.2,3,3.3,8.8,16.7,19.8,21.5,66.8,70.1,4.1,74.2
2024-25,Male,Not stated,—,—,—,—,—,—,—,0.1,—,0.1,0.1,—,0.1
2024-25,Male,Total,—,0.2,3.6,13,16.8,30.9,54.9,73.5,71.9,231.1,247.9,10.7,258.6
2024-25,Female,First Nations,—,—,1.6,2.1,3.8,5.6,8.1,6.7,5.8,26.2,30,0.2,30.2
2024-25,Female,Non-Indigenous,—,0.5,0.3,0.9,1.7,0.6,1.8,4.1,3.6,10,11.7,—,11.7
2024-25,Female,Not stated,—,—,—,—,—,0.1,—,—,—,0.1,0.1,—,0.1
2024-25,Female,Total,—,0.5,1.9,3,5.4,6.3,9.9,10.8,9.3,36.4,41.8,0.2,42
2024-25,Total,First Nations,—,0.2,5,12.1,17.3,27.7,46.4,60.2,56.1,190.4,207.7,6.8,214.5
2024-25,Total,Non-Indigenous,—,0.5,0.5,3.9,4.9,9.4,18.4,24,25.1,76.9,81.8,4.1,85.9
2024-25,Total,Not stated,—,—,—,—,—,0.1,—,0.1,—,0.3,0.3,—,0.3
2024-25,Total,Total,—,0.7,5.5,16,22.2,37.2,64.8,84.3,81.2,267.5,289.8,10.9,300.7
