year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,Male,5.571,3.101,6.182,9.264,5.622,2.617,2.656,34.663,5.707
2015-16,Female,0.557,0.197,1.399,0.671,0.613,0.114,0.486,4.299,0.694
2015-16,Total,3.136,1.686,3.853,5.065,3.179,1.409,1.594,20.065,3.267
2016-17,Male,5.196,3.576,6.048,9.596,5.036,3.175,3.677,26.99,5.608
2016-17,Female,0.575,0.304,1.108,0.664,0.791,0.344,1.077,2.632,0.671
2016-17,Total,2.954,1.982,3.645,5.234,2.964,1.811,2.406,15.26,3.206
2017-18,Male,5.396,3.587,6.8,9.881,4.746,3.41,5.288,27.81,5.883
2017-18,Female,0.64,0.409,1.227,0.666,0.562,0.312,1.067,2.329,0.724
2017-18,Total,3.089,2.041,4.094,5.388,2.703,1.915,3.232,15.495,3.376
2018-19,Male,4.694,3.274,7.635,8.327,4.13,4.146,3.085,24.862,5.505
2018-19,Female,0.582,0.385,1.331,1.053,0.453,0.22,0.898,2.077,0.749
2018-19,Total,2.701,1.869,4.577,4.787,2.333,2.248,2.022,13.799,3.195
2019-20,Male,4.412,3.482,6.141,6.81,3.286,4.84,5.091,16.412,4.885
2019-20,Female,0.482,0.332,0.887,0.852,0.835,0.341,2.004,1.604,0.629
2019-20,Total,2.509,1.95,3.593,3.915,2.09,2.667,3.594,9.238,2.819
2020-21,Male,3.401,2.971,7.1,6.125,2.339,2.674,3.035,21.515,4.491
2020-21,Female,0.365,0.269,0.897,0.764,0.642,0.255,0.775,2.216,0.542
2020-21,Total,1.933,1.657,4.093,3.524,1.512,1.508,1.938,12.199,2.576
2021-22,Male,3.284,2.246,8.415,6.404,3.004,2.58,3.522,33.64,4.773
2021-22,Female,0.323,0.211,1.123,0.941,0.542,0.356,0.995,4.865,0.61
2021-22,Total,1.849,1.257,4.878,3.755,1.804,1.51,2.298,19.76,2.753
2022-23,Male,3.573,2.027,8.618,5.251,2.785,3.792,4.949,32.094,4.743
2022-23,Female,0.272,0.16,1.306,0.634,0.75,0.897,1.284,5.706,0.626
2022-23,Total,1.974,1.118,5.069,3.01,1.795,2.398,3.169,19.31,2.745
2023-24,Male,3.806,1.538,8.642,5.061,2.618,4.28,6.805,38.959,4.674
2023-24,Female,0.363,0.06,1.362,0.605,0.799,1.38,0.812,3.415,0.611
2023-24,Total,2.137,0.819,5.106,2.896,1.731,2.881,3.899,21.827,2.701
2024-25,Male,3.967,2.073,8.292,4.338,3.52,4.191,8.679,27.629,4.757
2024-25,Female,0.354,0.088,1.481,0.477,0.701,0.999,1.217,2.168,0.612
2024-25,Total,2.216,1.106,4.984,2.46,2.147,2.649,5.038,15.364,2.744
