sex,year,10,11,12,13,14,15,16,17,total
Males,Dec 2020,165420,165651,164999,164259,160283,154360,150289,147682,1272943
Males,Dec 2021,165581,166032,166377,165723,164962,160923,154887,150670,1295155
Males,Dec 2022,167878,167112,167518,167768,167192,166546,162506,156936,1323456
Males,Dec 2023,166281,166994,169048,169286,169559,169133,168614,165255,1344170
Males,Dec 2024,166199,167996,171678,170741,170921,171328,170973,170944,1360780
Females,Dec 2020,156895,156727,155727,154619,150582,144838,140857,139433,1199678
Females,Dec 2021,156911,157426,157378,156323,155129,151055,145296,141257,1220775
Females,Dec 2022,158651,158348,158811,158758,157725,156655,152650,147353,1248951
Females,Dec 2023,156719,157689,160191,160483,160459,159692,158755,155369,1269357
Females,Dec 2024,156808,158439,162222,161807,162046,162145,161542,161016,1286025
Persons,Dec 2020,322315,322378,320726,318878,310865,299198,291146,287115,2472621
Persons,Dec 2021,322492,323458,323755,322046,320091,311978,300183,291927,2515930
Persons,Dec 2022,326529,325460,326329,326526,324917,323201,315156,304289,2572407
Persons,Dec 2023,323000,324683,329239,329769,330018,328825,327369,320624,2613527
Persons,Dec 2024,323007,326435,333900,332548,332967,333473,332515,331960,2646805
