year,supervision,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,First year of supervision,1061,430,780,392,200,71,53,116,3103
2020-21,Previously supervised,1576,1109,1933,896,320,158,82,260,6334
2020-21,Total,2637,1539,2713,1288,520,229,135,376,9437
2021-22,First year of supervision,890,374,701,591,220,61,46,168,3051
2021-22,Previously supervised,1520,974,1905,799,300,130,84,285,5997
2021-22,Total,2410,1348,2606,1390,520,191,130,453,9048
2022-23,First year of supervision,1036,388,755,658,281,72,84,179,3453
2022-23,Previously supervised,1412,766,1806,852,327,127,81,374,5745
2022-23,Total,2448,1154,2561,1510,608,199,165,553,9198
2023-24,First year of supervision,1011,322,764,589,219,92,78,251,3326
2023-24,Previously supervised,1411,653,1801,902,407,134,101,507,5916
2023-24,Total,2422,975,2565,1491,626,226,179,758,9242
2024-25,First year of supervision,1014,452,784,568,255,99,58,251,3481
2024-25,Previously supervised,1442,602,1779,873,354,167,118,763,6098
2024-25,Total,2456,1054,2563,1441,609,266,176,1014,9579
