none,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,1394,517,1004,558,256,42,74,165,4010
2021-22,1284,410,1057,716,290,43,71,268,4139
2022-23,1440,373,1095,776,328,58,105,281,4456
2023-24,1459,295,1111,758,316,77,110,304,4430
2024-25,1515,372,1069,784,348,66,99,332,4585
