sex,indigenous_status,10,11,12,13,14,15,16,17,total
Females,First Nations,10402,10447,10694,10779,10826,10927,10915,10875,85862
Females,Non-Indigenous,151066,152670,153312,152737,152877,152835,152226,151703,1219423
Females,Total,161467,163116,164006,163515,163702,163761,163140,162577,1305284
Males,First Nations,11264,11364,11320,11186,11247,11387,11455,11347,90568
Males,Non-Indigenous,159863,161489,162238,161413,161495,161713,161261,161299,1290769
Males,Total,171126,172853,173558,172598,172742,173100,172715,172645,1381337
Persons,First Nations,21665,21811,22014,21964,22073,22314,22369,22221,176430
Persons,Non-Indigenous,310928,314159,315550,314149,314372,314548,313486,313001,2510192
Persons,Total,332593,335969,337564,336113,336444,336861,335855,335222,2686621
