year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,First Nations,1264,338,1448,1079,352,49,48,405,4983
2015-16,Non-Indigenous,1551,1749,1177,701,399,179,112,27,5895
2015-16,Not stated,158,3,24,—,5,6,—,25,221
2015-16,Total,2973,2090,2649,1780,756,234,160,457,11099
2016-17,First Nations,1211,325,1420,1064,343,n.p.,n.p.,395,4858
2016-17,Non-Indigenous,1402,1611,1147,677,376,n.p.,n.p.,20,5525
2016-17,Not stated,140,2,18,—,5,10,—,24,199
2016-17,Total,2753,1938,2585,1741,724,241,161,439,10582
2017-18,First Nations,1223,288,1588,1046,302,n.p.,n.p.,336,4891
2017-18,Non-Indigenous,1433,1564,1217,708,337,n.p.,n.p.,18,5569
2017-18,Not stated,143,3,24,—,6,16,—,16,208
2017-18,Total,2799,1855,2829,1754,645,239,177,370,10668
2018-19,First Nations,1199,267,1807,969,261,70,42,354,4969
2018-19,Non-Indigenous,1502,1496,1332,753,306,162,133,17,5701
2018-19,Not stated,127,1,23,—,2,23,—,17,193
2018-19,Total,2828,1764,3162,1722,569,255,175,388,10863
2019-20,First Nations,1140,235,1669,862,254,n.p.,n.p.,341,4613
2019-20,Non-Indigenous,1498,1480,1218,692,310,n.p.,n.p.,20,5475
2019-20,Not stated,127,—,16,—,4,21,1,12,181
2019-20,Total,2765,1715,2903,1554,568,242,149,373,10269
2020-21,First Nations,1060,223,1554,742,225,78,32,343,4257
2020-21,Non-Indigenous,1438,1315,1139,546,290,138,101,22,4989
2020-21,Not stated,139,1,20,—,5,13,2,11,191
2020-21,Total,2637,1539,2713,1288,520,229,135,376,9437
2021-22,First Nations,1076,194,1553,826,230,n.p.,n.p.,419,4388
2021-22,Non-Indigenous,1227,1154,1041,564,286,n.p.,n.p.,23,4521
2021-22,Not stated,107,—,12,—,4,4,1,11,139
2021-22,Total,2410,1348,2606,1390,520,191,130,453,9048
2022-23,First Nations,1196,190,1572,892,280,n.p.,n.p.,509,4747
2022-23,Non-Indigenous,1147,964,977,618,324,n.p.,n.p.,19,4293
2022-23,Not stated,105,—,12,—,4,2,10,25,158
2022-23,Total,2448,1154,2561,1510,608,199,165,553,9198
2023-24,First Nations,1237,166,1598,893,310,n.p.,n.p.,690,5017
2023-24,Non-Indigenous,1084,809,957,598,313,n.p.,n.p.,39,4076
2023-24,Not stated,101,—,10,—,3,1,5,29,149
2023-24,Total,2422,975,2565,1491,626,226,179,758,9242
2024-25,First Nations,1239,198,1604,867,319,95,54,934,5310
2024-25,Non-Indigenous,1101,852,944,574,281,165,122,45,4084
2024-25,Not stated,116,4,15,—,9,6,—,35,185
2024-25,Total,2456,1054,2563,1441,609,266,176,1014,9579
