age,nsw,vic,qld,wa,sa,tas,act,nt,australia
10,—,—,0.1,0.5,—,0.1,—,n.a.,0.7
11,0.3,0.1,3,0.6,—,—,—,n.a.,4.2
12,1.6,—,19.6,5.3,1.7,0.9,0.8,n.a.,29.9
13,10.3,1.3,63.5,20.3,7.3,2.7,1.7,n.a.,107.1
14,73,16.3,141.3,50.1,20.8,8.6,7.7,n.a.,317.8
15,211.3,60.8,256,96.1,47.1,21.1,14.9,n.a.,707.3
16,292.9,99.3,329.1,120.4,66.8,32.5,17.8,n.a.,958.9
17,328.7,122.1,329.6,144.1,61.3,44.4,20.8,n.a.,1051
10–17,918.2,299.9,1142.2,437.5,205,110.2,63.7,n.a.,3176.8
18+,116.3,245.1,414.4,78.6,38.2,52.3,25.6,n.a.,970.5
Total,1034.5,545,1556.6,516.2,243.1,162.5,89.3,n.a.,4147.3
