section,legal_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
,Pre-court detention,503,—,117,569,275,—,81,—,1545
,Remand,1225,338,917,413,154,65,33,304,3449
,Total unsentenced,1443,338,962,772,339,n.p.,n.p.,n.p.,4318
,Sentenced,18,43,13,27,12,n.p.,n.p.,n.p.,117
,Other,—,3,—,—,—,—,—,4,7
,Total young people,1454,377,965,785,342,66,96,310,4395
