sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,297.7,36,405.9,167.5,68.8,23.5,10.2,n.a.,1009.5
Male,Non-Indigenous,254.7,164.1,202.8,120.1,53.5,41.9,22.8,n.a.,859.9
Male,Not stated,19.9,0.4,3.6,—,1.8,0.2,—,n.a.,25.9
Male,Total,572.2,200.4,612.2,287.7,124.2,65.6,33,n.a.,1895.2
Female,First Nations,98.6,6.2,181.7,48.5,28.3,14.7,5.6,n.a.,383.5
Female,Non-Indigenous,62.3,22.1,65.1,31.7,16.1,15.2,8.8,n.a.,221.3
Female,Not stated,5.3,—,0.2,—,—,0.1,—,n.a.,5.6
Female,Total,166.2,28.3,246.9,80.1,44.4,30,14.4,n.a.,610.3
Not stated,First Nations,0.3,—,0.1,—,—,—,—,n.a.,0.4
Not stated,Non-Indigenous,0.7,—,0.8,—,—,0.7,—,n.a.,2.3
Not stated,Not stated,—,—,—,—,0.5,0.1,—,n.a.,0.6
Not stated,Total,1,—,0.9,—,0.5,0.8,—,n.a.,3.3
Total,First Nations,396.6,42.1,587.7,216,97.1,38.1,15.8,n.a.,1393.3
Total,Non-Indigenous,317.7,186.2,268.6,151.8,69.6,57.9,31.6,n.a.,1083.4
Total,Not stated,25.2,0.4,3.7,—,2.3,0.4,—,n.a.,32.1
Total,Total,739.5,228.7,860,367.8,169.1,96.4,47.4,n.a.,2508.8
