sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,92.755,50.731,155.643,158.603,140.536,74.954,167.833,n.a.,119.528
Male,Non-Indigenous,6.426,4.891,7.429,8.364,6.193,16.906,13.438,n.a.,6.736
Male,Total,13.356,5.851,20.476,18.656,13.596,23.474,18.78,n.a.,13.925
Female,First Nations,32.959,8.975,72.599,47.398,60.741,49.511,114.159,n.a.,47.842
Female,Non-Indigenous,1.668,0.695,2.528,2.331,1.964,6.579,5.564,n.a.,1.835
Female,Total,4.123,0.87,8.741,5.488,5.122,11.489,8.795,n.a.,4.747
Total,First Nations,63.941,30.193,115.002,103.889,101.63,62.59,143.934,n.a.,84.646
Total,Non-Indigenous,4.128,2.849,5.064,5.433,4.133,12.07,9.627,n.a.,4.365
Total,Total,8.892,3.426,14.79,12.252,9.497,17.84,13.96,n.a.,9.478
