sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,215.329,131.106,352.425,457.256,347.258,162.939,527.037,785.113,321.118
Male,Non-Indigenous,14.279,12.52,17.99,24.716,17.937,35.886,37.782,24.972,16.818
Male,Total,30.738,15.093,47.525,54.346,36.25,51.198,54.712,346.299,37.505
Female,First Nations,66.826,29.127,142.269,132.936,173.894,84.488,225.719,234.524,111.846
Female,Non-Indigenous,3.644,2.012,5.904,7.363,5.607,15.548,16.363,—,4.639
Female,Total,8.656,2.584,18.021,16.159,14.649,23.743,22.593,102.371,11.854
Total,First Nations,143.827,80.946,249.709,297.689,262.731,124.815,392.873,519.104,219.382
Total,Non-Indigenous,9.134,7.405,12.162,16.318,11.932,26.483,27.415,14.82,10.927
Total,Total,20.057,9.003,33.244,35.804,25.786,38.487,39.206,229.16,25.085
