sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,403.5,45.7,579.3,207.7,84.3,27.2,14.6,n.a.,1362.3
Male,Non-Indigenous,313.4,222.6,271.2,143.3,68,49.5,32.9,n.a.,1100.9
Male,Not stated,20.6,0.6,3.7,—,2.2,0.2,—,n.a.,27.2
Male,Total,737.5,268.9,854.1,351.1,154.5,76.9,47.5,n.a.,2490.5
Female,First Nations,106.7,7.4,210.5,51.5,31.9,15.5,6.6,n.a.,430.1
Female,Non-Indigenous,67.5,23.6,76.4,34.9,18.2,16.9,9.6,n.a.,247.1
Female,Not stated,5.4,—,0.3,—,—,0.1,—,n.a.,5.8
Female,Total,179.7,31,287.2,86.4,50,32.5,16.2,n.a.,683
Not stated,First Nations,0.3,—,0.1,—,—,—,—,n.a.,0.4
Not stated,Non-Indigenous,0.7,—,0.8,—,—,0.7,—,n.a.,2.3
Not stated,Not stated,—,—,—,—,0.5,0.1,—,n.a.,0.6
Not stated,Total,1,—,0.9,—,0.5,0.8,—,n.a.,3.3
Total,First Nations,510.5,53.1,789.9,259.2,116.2,42.7,21.2,n.a.,1792.8
Total,Non-Indigenous,381.7,246.3,348.3,178.3,86.1,67.1,42.5,n.a.,1350.3
Total,Not stated,26,0.6,4,—,2.7,0.4,—,n.a.,33.7
Total,Total,918.2,299.9,1142.2,437.5,205,110.2,63.7,n.a.,3176.8
