sex,indigenous_status,10,11,12,13,14,15,16,17,10_17,18plus,total
Male,First Nations,—,0.7,5.5,19.4,43.6,82.9,116.3,132.4,400.9,42.4,443.3
Male,Non-Indigenous,—,—,0.4,5.9,22.1,54.8,77.5,90.9,251.6,76.1,327.7
Male,Not stated,—,—,—,0.1,0.1,0.1,0.5,1,1.8,1.8,3.6
Male,Total,—,0.7,5.9,25.4,65.8,137.7,194.4,224.3,654.2,120.4,774.6
Female,First Nations,—,—,1.9,3.7,8,13.2,13.8,11.2,52,1.7,53.6
Female,Non-Indigenous,—,0.5,0.3,1.9,2.2,4.3,9.6,8.5,27.3,3.8,31
Female,Not stated,—,—,—,—,0.1,—,0.1,—,0.3,—,0.3
Female,Total,—,0.5,2.3,5.6,10.3,17.5,23.5,19.7,79.5,5.4,84.9
Not stated,First Nations,—,—,—,—,—,—,—,—,—,—,—
Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,0.1,—,0.1
Not stated,Not stated,—,—,—,—,—,—,—,—,—,—,—
Not stated,Total,—,—,—,—,—,—,—,—,0.1,—,0.1
Total,First Nations,—,0.7,7.4,23.2,51.7,96.1,130.2,143.6,452.8,44.1,496.9
Total,Non-Indigenous,—,0.5,0.7,7.8,24.3,59.1,87.1,99.4,278.9,79.9,358.8
Total,Not stated,—,—,—,0.1,0.2,0.1,0.6,1,2,1.8,3.8
Total,Total,—,1.2,8.1,31,76.2,155.3,217.9,244,733.7,125.8,859.5
