indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,total
First Nations,787,55,694,523,186,23,31,303,2602
Non-Indigenous,652,318,306,266,156,46,64,9,1817
Not stated,48,1,3,—,3,—,—,3,58
Total,1487,374,1003,789,345,69,95,315,4477
