sex,indigenous_status,10_12,13,14,15,16,17
Male,First Nations,27.69,161.817,286.299,385.527,408.573,485.612
Male,Non-Indigenous,0.248,5.266,12.57,22.447,25.115,27.465
Male,Total,2.087,15.585,30.855,47.025,51.009,58.502
Female,First Nations,7.609,58.45,105.307,120.807,127.354,102.074
Female,Non-Indigenous,0.175,2.357,2.944,4.776,4.598,5.273
Female,Total,0.675,6.177,9.835,12.64,12.934,11.871
Total,First Nations,18.018,111.091,197.531,255.899,271.358,297.916
Total,Non-Indigenous,0.213,3.852,7.889,13.893,15.184,16.709
Total,Total,1.401,11.008,20.628,30.339,32.544,35.887
