remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major cities of Australia,8.049,4.082,13.166,12.331,10.134,. .,17.072,n.a.,8.809
Inner regional Australia,14.866,4.129,16.532,6.094,5.036,23.03,—,n.a.,12.18
Outer regional Australia,18.016,3.47,42.825,20.024,18.648,15.529,. .,n.a.,25.806
Remote Australia,50.354,—,75.309,29.206,15.68,14.326,. .,n.a.,41.694
Very remote Australia,149.207,. .,85.531,94.633,51.419,—,. .,n.a.,87.986
