legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Unsentenced,First Nations,36.44,61.605,90.803,112.054,175.852,32.846,301.508,437.418,98.185
Unsentenced,Non-Indigenous,1.624,5.523,4.224,5.225,7.242,3.962,21.323,10.498,4.339
Unsentenced,Total,4.317,6.741,11.867,12.623,16.46,7.401,30.363,191.813,10.63
Sentenced,First Nations,120.769,41.547,212.722,215.452,144.45,91.969,137.049,232.762,160.005
Sentenced,Non-Indigenous,7.731,4.1,9.937,12.381,6.649,19.81,10.052,6.175,7.949
Sentenced,Total,16.894,4.913,27.93,26.445,14.269,28.68,14.15,102.252,18.284
Total,First Nations,143.827,80.946,249.709,297.689,262.731,124.815,392.873,519.104,219.382
Total,Non-Indigenous,9.134,7.405,12.162,16.318,11.932,26.483,27.415,14.82,10.927
Total,Total,20.057,9.003,33.244,35.804,25.786,38.487,39.206,229.16,25.085
