sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,191.334,60.619,215.136,379.627,253.294,57.508,n.p.,n.p.,227.472
Male,Non—Indigenous,13.169,8.466,9.856,15.247,14.234,14.516,n.p.,n.p.,11.759
Male,Total,27.47,9.605,27.826,40.208,27.269,19.333,41.034,197.286,26.285
Female,First Nations,52.124,8.738,65.14,132.936,126.664,20.277,n.p.,n.p.,68.065
Female,Non—Indigenous,3.429,0.503,2.253,3.902,3.657,4.319,n.p.,n.p.,2.571
Female,Total,7.242,0.677,7.86,12.941,10.381,6.127,16.487,36.131,6.974
Total,First Nations,124.156,35.1,141.684,258.254,191.553,39.415,310.644,278.437,149.891
Total,Non—Indigenous,8.459,4.59,6.185,9.733,9.083,9.592,19.8,6.175,7.304
Total,Total,17.676,5.258,18.144,26.945,19.044,12.952,29.184,119.656,16.912
