indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,86,n.p.,91,112,34,n.p.,n.p.,n.p.,362
First Nations,14-17 years,684,49,633,425,149,n.p.,n.p.,285,2276
First Nations,18+ years,42,n.p.,14,—,4,n.p.,n.p.,n.p.,76
First Nations,Total,812,63,738,537,187,24,34,319,2714
Non-Indigenous,10-13 years,55,n.p.,33,27,14,n.p.,n.p.,1,141
Non-Indigenous,14-17 years,596,295,295,245,139,n.p.,n.p.,9,1684
Non-Indigenous,18+ years,48,n.p.,8,—,8,n.p.,n.p.,—,141
Non-Indigenous,Total,699,377,336,272,161,46,65,10,1966
Not stated,10-13 years,8,—,—,—,—,—,—,—,8
Not stated,14-17 years,41,2,3,—,3,—,—,3,52
Not stated,18+ years,1,—,—,—,—,—,—,1,2
Not stated,Total,50,2,3,—,3,—,—,4,62
Total,10-13 years,149,5,124,139,48,7,6,33,511
Total,14-17 years,1321,346,931,670,291,63,93,297,4012
Total,18+ years,91,91,22,—,12,n.p.,n.p.,3,219
Total,Total,1561,442,1077,809,351,70,99,333,4742
