indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,27.75,n.p.,36.177,108.422,72.985,n.p.,n.p.,n.p.,41.591
First Nations,14-17 years,220.45,69.721,243.973,406.174,304.392,n.p.,n.p.,502.912,255.858
First Nations,10-17 years,124.156,35.1,141.684,258.254,191.553,39.415,310.644,278.437,149.891
Non-Indigenous,10-13 years,1.429,n.p.,1.26,1.921,1.674,n.p.,n.p.,—,1.134
Non-Indigenous,14-17 years,15.486,9.095,10.987,17.642,16.385,n.p.,n.p.,11.913,13.416
Non-Indigenous,10-17 years,8.459,4.59,6.185,9.733,9.083,9.592,19.846,6.175,7.305
Total,10-13 years,3.584,0.149,4.32,9.211,5.437,2.665,5.225,22.985,3.841
Total,14-17 years,31.764,10.441,31.619,44.864,32.431,22.682,41.585,224.626,29.848
Total,10-17 years,17.676,5.258,18.1,26.945,19.044,12.952,29.249,119.656,16.867
