sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.299,1.493,3.958,14.218,28.036,44.75,53.854,63.04,25.206
Male,2021-22,0.358,1.191,5.173,12.958,30.721,40.728,57.772,59.437,25.312
Male,2022-23,0.589,2.013,6.378,17.164,30.309,44.226,52.711,60.623,26.359
Male,2023-24,0.541,1.138,5.209,15.431,29.594,44.836,50.505,55.918,25.448
Male,2024-25,0.037,1.06,5.071,15.589,30.861,47.034,51.02,58.512,26.289
Female,2020-21,0.037,0.037,1.715,5.376,10.121,13.117,10.819,10.078,6.244
Female,2021-22,0.037,0.314,2.83,5.445,10.336,12.057,11.511,11.002,6.558
Female,2022-23,0.312,0.037,2.866,6.236,10.607,13.714,11.35,10.615,6.926
Female,2023-24,0.037,0.037,2.285,5.921,11.6,12.4,12.663,10.709,7.021
Female,2024-25,0.037,0.037,1.829,6.178,9.837,12.642,12.936,11.873,6.973
Total,2020-21,0.153,0.89,2.869,9.93,19.357,29.469,33.035,37.323,16.011
Total,2021-22,0.215,0.765,4.034,9.311,20.842,26.877,35.412,36.004,16.221
Total,2022-23,0.454,1.185,4.669,11.912,20.746,29.437,32.706,36.438,16.943
Total,2023-24,0.372,0.678,3.786,10.804,20.907,29.145,32.154,34.042,16.518
Total,2024-25,0.037,0.606,3.496,11.01,20.631,30.345,32.55,35.893,16.912
