STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2084093,47.13%,-0.11%
VIC,465805,10.53%,-0.18%
QLD,642225,14.52%,-0.18%
SA,546959,12.37%,-0.14%
WA,493594,11.16%,-0.27%
TAS,153325,3.47%,-0.68%
NT,9876,0.22%,-0.50%
ACT,26600,0.60%,-0.32%
TOTAL,4422477,100.00%,-0.17%
