"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","222463","161535","175794","103473","43317","19987","7481","15978","","750028"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","308","287","294","252","195","30","54","15","","1435"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","71","94","1626","54","43","774","397","582","","3641"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","379","381","1920","306","238","804","451","597","","5076"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","6978","1460","286","..","..","..","..","..","","8724"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3025","2290","6373","2704","1473","..","..","..","","15865"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10003","3750","6659","2704","1473","..","..","..","","24589"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","203712","146322","153656","93629","38194","17339","6493","13670","","673015"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","8369","11082","13559","6834","3412","1844","537","1711","","47348"
"7A.1","2024-25","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","212081","157404","167215","100463","41606","19183","7030","15381","","720363"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","210437","148467","188850","94981","39445","17703","7441","13021","","720345"
