STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,342062,21.68%,0.40%
VIC,389718,24.70%,0.67%
QLD,323266,20.49%,0.34%
SA,167927,10.64%,0.72%
WA,259480,16.44%,0.41%
TAS,48274,3.06%,0.67%
NT,12794,0.81%,0.33%
ACT,34519,2.19%,0.75%
TOTAL,1578040,100.00%,0.50%
