MFS Exec classification  Open Data,,,,,
,,,,,
,,,,,
Executive classification,2013-14,2014-15,2015-16,2016-17,2017-18
EXEC0B,1,1,1,1,1
EXEC0C,1,1,1,1,1
Total,2,2,2,2,2
