STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2004277,47.09%,-0.06%
VIC,434276,10.20%,-0.19%
QLD,619566,14.56%,-0.08%
SA,576256,13.54%,0.58%
WA,447407,10.51%,-0.14%
TAS,142866,3.36%,-0.07%
NT,7317,0.17%,-0.45%
ACT,24344,0.57%,-0.16%
TOTAL,4256309,100.00%,0.00%
