STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2014709,47.19%,-0.06%
VIC,439102,10.28%,-0.12%
QLD,622288,14.57%,-0.07%
SA,563500,13.20%,0.26%
WA,453907,10.63%,-0.12%
TAS,144097,3.37%,-0.06%
NT,7509,0.18%,-0.36%
ACT,24638,0.58%,-0.26%
TOTAL,4269750,100.00%,-0.03%
