STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2003513,47.07%,-0.04%
VIC,433844,10.19%,-0.10%
QLD,619454,14.55%,-0.02%
SA,577908,13.58%,0.29%
WA,447075,10.50%,-0.07%
TAS,142805,3.36%,-0.04%
NT,7312,0.17%,-0.07%
ACT,24341,0.57%,-0.01%
TOTAL,4256252,100.00%,0.00%
