,Female,,,,,,,
STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,15136,194777,237758,221974,164832,143030,977507,33.16%
VIC,4188,57259,60766,52078,39083,32994,246368,10.85%
QLD,18669,87961,78087,54636,34242,22896,296491,16.51%
SA,24099,59269,57884,56670,44702,37687,280311,41.31%
WA,1842,32078,56720,54402,41160,35793,221995,24.56%
TAS,446,9382,16728,17657,13460,12774,70447,34.14%
NT,157,871,1230,1000,593,242,4093,4.89%
ACT,502,2973,3694,3054,2167,1658,14048,9.64%
TOTAL,65039,444570,512867,461471,340239,287074,2111260,23.37%
