STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2011670,47.14%,-0.06%
VIC,437933,10.26%,-0.16%
QLD,621491,14.56%,-0.06%
SA,568344,13.32%,0.10%
WA,451828,10.59%,-0.17%
TAS,143831,3.37%,-0.08%
NT,7470,0.18%,-0.21%
ACT,24543,0.58%,-0.26%
TOTAL,4267110,100.00%,-0.06%
