,Male,,,,,,,
STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,25610,196116,235374,228019,178458,165703,1029280,36.09%
VIC,2863,41487,42080,40936,30823,26996,185185,8.41%
QLD,26293,96185,83827,56860,35496,25244,323905,18.30%
SA,26421,60149,57980,57064,47293,42661,291568,44.67%
WA,1216,32730,56227,54355,42747,38594,225869,24.41%
TAS,227,9616,16864,17524,14283,14232,72746,36.94%
NT,75,411,996,902,618,278,3280,3.62%
ACT,283,1644,2744,2407,1861,1410,10349,7.26%
TOTAL,82988,438338,496092,458067,351579,315118,2142182,24.25%
