STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2026064,47.26%,-0.05%
VIC,442543,10.32%,-0.06%
QLD,625557,14.59%,-0.05%
SA,553602,12.91%,0.21%
WA,461155,10.76%,-0.17%
TAS,145494,3.39%,-0.08%
NT,7760,0.18%,-0.36%
ACT,24862,0.58%,-0.17%
TOTAL,4287037,100.00%,-0.03%
