State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,142,3603,17272,24917,29020,31919,57719,164592,5.6%
VIC,78,5028,29859,34262,33245,31353,42879,176704,7.7%
QLD,76,2817,16547,22998,26707,27474,41958,138577,7.5%
SA,3012,9221,13219,11765,13514,13921,23075,87727,13.1%
WA,32,2827,17166,19735,21147,20349,27213,108469,10.6%
TAS,9,568,2651,3102,3761,4463,6200,20754,10.2%
NT,0,113,848,1037,1131,1021,768,4918,4.9%
ACT,10,610,3269,3284,3094,2737,3379,16383,10.8%
TOTAL,3359,24787,100831,121100,131619,133237,203191,718124,7.8%
