STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,101,5667,12402,20494,21596,25169,34698,120127,4.42%
VIC,117,9176,20373,25448,22532,21181,22404,121231,5.85%
QLD,116,6499,13718,20255,21395,22971,24466,109420,6.58%
SA,1712,6300,5870,8018,8713,9481,12185,52279,8.27%
WA,91,6742,12696,16052,15840,15261,15087,81769,9.54%
TAS,30,1029,1993,2617,3141,3506,3343,15659,8.15%
NT,2,222,678,847,798,690,337,3574,4.16%
ACT,15,872,1987,2165,1912,1733,1521,10205,7.50%
TOTAL,2184,36507,69717,95896,95927,99992,114041,514264,6.15%
