STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,295928,22.70%,0.46%
VIC,313002,24.01%,0.67%
QLD,279434,21.43%,0.58%
SA,128858,9.88%,0.88%
WA,210130,16.12%,0.89%
TAS,40708,3.12%,0.32%
NT,9670,0.74%,1.58%
ACT,26009,1.99%,0.98%
TOTAL,1303739,100.00%,0.66%
