State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,143,4066,18785,26381,30750,33288,59971,173384,5.9%
VIC,112,5252,31061,35431,34756,32520,44755,183887,8.0%
QLD,118,3084,17366,23921,27845,28427,43726,144487,7.9%
SA,2991,9092,14118,12058,13883,14283,23871,90296,13.4%
WA,37,2698,17445,20040,21727,20734,28202,110883,10.8%
TAS,14,567,2725,3204,3826,4577,6434,21347,10.5%
NT,1,107,848,1093,1168,1033,813,5063,5.1%
ACT,10,597,3401,3438,3224,2830,3512,17012,11.2%
TOTAL,3426,25463,105749,125566,137179,137692,211284,746359,8.1%
