State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,458947,23.17%,1.55%
VIC,494999,25.00%,1.03%
QLD,394338,19.91%,1.27%
SA,222618,11.24%,0.66%
WA,292809,14.79%,0.65%
TAS,58254,2.94%,0.91%
NT,14209,0.72%,0.92%
ACT,44214,2.23%,1.03%
TOTAL,1980388,100.00%,1.10%
