Independent Commissioner Against Corruption and Office for Public Integrity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section 45(2)(b)(i) Independent Commissioner Against Corruption Act 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of enquiries received by the OPI outside the Commissioner's jurisdiction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General enquiries,,"1,059","1,136","1,157","1,147",374,251,289,624 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contacts ,,186,313,306,174,59,44,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,,"1,245","1,449","1,463","1,321",433,295,329,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Reported in 2013-14 as a single number. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complaints and reports received under the ICAC Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21,,2019-20,,2018-19,,2017-18,,2016-17,,2015-16,,2014-15,,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complaints ,,596,48.1,495,39.4,487,40,415,37,428,36,463,44,453,49,462,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reports ,,642,51.9,762,60.6,742,60,706,63,772,64,600,56,474,51,461,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,,"1,238",100,"1,257",100,"1,229",100,"1,121",100,"1,200",100,"1,063",100,927,100,923,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method of receipt of complaints and reports received under the ICAC Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21 ,,2019-20,,2018-19,,2017-18,,2016-17 2,2015-16 2 ,2014-15 2,2013-14 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,%,Number,%,Number,%,Number,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website,,685,55.3,777,61.8,755,61.4,677,60.4,56,48,41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone call,,306,24.7,207,16.5,233,18.9,218,19.5,22,24,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,,157,12.7,139,11.1,109,8.9,97,8.7,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letter,,73,5.9,92,7.3,67,5.5,80,7.1,9,12,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In person ,,17,1.4,42,3.3,37,3.0,34,3.0,3,5,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic transfer 1,,-,-,-,-,28,2.3,15,1.3,1,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,,"1,238",100,"1,257",100,"1,229",100,"1,121",100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Reports from the Ombudsman, and prior to 2017 the Police Ombudsman.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Reporting prior to 2017-18 was as percentages only. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject of complaints and reports received under the ICAC Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21,,,,,,2019-20,,,,,,2018-19,,,,,,2017-18,,2016-17,,2015-16,,2014-15,,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Complaints,,Reports ,,Total ,,Complaints,,Reports ,,Total ,,Complaints,,Reports ,,Total ,,Complaints,Reports ,Complaints,Reports ,Complaints,Reports ,Complaints,Reports ,Complaints,Reports ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,%,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ombudsman,,2,0.3,1,0.2,3,0.2,2,0.4,1,0.1,3,0.2,2,0.4,0,0,2,0.2,Reported under Inquiry Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inquiry Agency,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,0.5,0.5,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local government,,112,18.8,141,22.0,253,20.4,89,18,201,26.4,290,23.1,105,21.6,136,18.3,241,19.6,21.8,15.6,16.1,15.7,22,15,21,19,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member of Parliament ,,35,5.9,14,2.2,49,4.0,13,2.6,9,1.2,22,1.8,16,3.3,14,1.9,30,2.4,1.2,1.0,0.9,0.5,2,<1,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statutory Authority,,112,18.8,99,15.4,211,17.0,105,21.2,120,15.7,225,17.9,126,25.9,86,11.6,212,17.2,16.9,10.3,8.2,6.2,11,7,9,10,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State government ,,334,56.0,386,60.1,720,58.2,285,57.6,429,56.3,714,56.8,237,48.7,504,67.9,741,60.3,48.7,70.4,32.2,69.2,64,77,67,69,64,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Police 1,,Separate report ,,,,,,Separate report ,,,,,,Separate report ,,,,,,9.2,2.3,40.7,7.6,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private / unknown,,1,0.2,1,0.2,2,0.2,1,0.2,2,0.3,3,0.2,1,0.2,2,0.3,3,0.2,1.2,0.4,1.4,0.3,1,< 1,1,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,,596,100,642,100.1,"1,238",100.0,495,100,762,100,"1,257",100,487,100,742,100,"1,229",99.9,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Received prior to 4 September 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rounding has been used in respect to statistical results. Accordingly not all tables and figures total 100%. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
