Independent Commissioner Against Corruption and Office for Public Integrity ,,,,,,,,,,,,,,,,,,,,
Section 31(1) Police Complaints and Discipline Act 2016,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Complaints and reports received under the PCD Act,,,,,,,,,,,,,,,,,,,,
,,2020-21,,,2019-20,,,2018-19,,,2017-18,,,,,,,,,
,,Received by IIS,Received by OPI ,Total ,Received by IIS,Received by OPI ,Total ,Received by IIS,Received by OPI ,Total ,Received by IIS,Received by OPI ,Total ,,,,,,,
Complaints ,,400,"1,593","1,993",313,"1,806","2,119",279,"1,655","1,934",216,"1,459","1,675",,,,,,,
Reports ,,397,23,420,416,13,429,359,10,369,283,27,310,,,,,,,
Protective Security Officers 1,,Reported separately ,,,Reported separately ,,,6,-,6,5,-,5,,,,,,,
Total ,,797,"1,616","2,413",729,"1,819","2,548",644,"1,665","2,309",504,"1,486","1,990",,,,,,,
1 Under the PCD Act the OPI has oversight of matters relating to Protective Security Officers. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Method of receipt of complaints and reports received under the PCD Act,,,,,,,,,,,,,,,,,,,,
,,2020-21,,2019-20,,2018-19,,2017-18,,,,,,,,,,,,
,,Number,%,Number,%,Number,%,Number,%,,,,,,,,,,,
Website,,600,24.9,755,29.6,535,23.2,395,19.8,,,,,,,,,,,
Telephone call,,734,30.4,661,25.9,804,34.8,814,40.9,,,,,,,,,,,
Email,,152,6.3,240,9.4,134,5.8,115,5.8,,,,,,,,,,,
Letter,,114,4.7,146,5.7,153,6.6,133,6.7,,,,,,,,,,,
In person ,,16,0.7,17,0.7,39,1.7,29,1.5,,,,,,,,,,,
Received by IIS,,797,33.0,729,28.6,644,27.9,-,-,,,,,,,,,,,
Received by SA Police,,-,-,-,-,-,-,504,25.3,,,,,,,,,,,
Total ,,"2,413",100,"2,548",99.9,"2,309",100,"1,990",100,,,,,,,,,,,
Rounding has been used in respect to statistical results. Accordingly not all tables and figures total 100%. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
General nature of complaints and reports received under the ICAC Act 1,,,,,,,,,,,,,,,,,,,,
,,,,2020-21 ,,,,,,,,,,,,,,,,
,,,,Complaints ,%,Reports ,%,Total ,%,,,,,,,,,,,
Bribery/inducements,,,,4,0.2,2,0.5,6,0.2,,,,,,,,,,,
Coercion/extortion,,,,5,0.3,0,0,5,0.2,,,,,,,,,,,
"Conduct in private capacity, failure to disclose/declare to employer",,,,41,2.1,42,10,83,3.4,,,,,,,,,,,
Excessive force/assault/intimidation/threats,,,,231,11.6,41,9.8,272,11.2,,,,,,,,,,,
"Failure of duty, inaction or inadequate exercise of power",,,,706,35.4,96,22.9,802,33.2,,,,,,,,,,,
"Improper budgeting, procurement, contract management, accounts payable",,,,2,0.1,0,0,2,0.1,,,,,,,,,,,
Improper or unauthorised use of employment entitlements,,,,9,0.5,15,3.6,24,1,,,,,,,,,,,
Improper recruitment/deception in employment,,,,0,0,7,1.7,7,0.3,,,,,,,,,,,
"Improper use, damage or theft of resources",,,,9,0.5,8,1.9,17,0.7,,,,,,,,,,,
Improper use/access of information and improper record keeping,,,,78,3.9,44,10.5,122,5.1,,,,,,,,,,,
Improper votes/decision making,,,,7,0.4,3,0.7,10,0.4,,,,,,,,,,,
"Improper, unauthorised or mismanaged exercise of power",,,,289,14.5,35,8.3,324,13.4,,,,,,,,,,,
Negligence in management/oversight,,,,23,1.2,9,2.1,32,1.3,,,,,,,,,,,
Not otherwise categorised,,,,21,1.0,2,0.5,23,1,,,,,,,,,,,
Other criminal conduct while acting in capacity as a public officer,,,,17,0.9,10,2.4,27,1.1,,,,,,,,,,,
Sexual harassment/sexual impropriety,,,,8,0.4,18,4.3,26,1.1,,,,,,,,,,,
Theft and fraud – monetary,,,,13,0.7,4,1,17,0.7,,,,,,,,,,,
Unprofessional conduct,,,,530,26.6,84,20,614,25.4,,,,,,,,,,,
Victimisation/reprisals for reporting,,,,0,0,0,0,0,0,,,,,,,,,,,
Total  ,,,,"1,993",100.3,420,100.2,"2,413",99.8,,,,,,,,,,,
"1 On 1 July 2020 the OPI introduced a new ‘general nature’ classification scheme replacing the previous categories which were devised prior to the commencement of ICAC/OPI in September 2013, and had been in use since that date. The reformed scheme was devised and implemented in response to several reviews of the use, accuracy and reliability of internal complaints and reports data, which found the previous scheme was no longer fit for purpose. The efficacy of these categories is relied upon for internal research, trend and risk analysis, strategic planning, and corruption prevention. ",,,,,,,,,,,,,,,,,,,,
Rounding has been used in respect of statistical results. Accordingly not all tables and figures total 100%. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
General nature complaints and reports received under the PCD Act,,,,,,,,,,,,,,,,,,,,
,,,,,,,2019-20,,,,,,2018-19,,,,,,2017-18,
,,,,,,,Complaints,,Reports ,,Total ,,Complaints,,Reports ,,Total ,,Complaints,Reports 
,,,,,,,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,%,%
Alleged offence while not acting in capacity as public officer,,,,,,,307,14.5,41,9.6,348,13.7,17,0.9,42,11.4,59,2.6,0.7,6.5
Conduct (other than criminal conduct) of a public officer while not acting in capacity as a public officer,,,,,,,22,1.0,18,4.2,40,1.6,8,0.4,15,4.1,23,1.0,0.9,4.2
Conflict of interest - tender assessment / procurement / contract / vote / decision making,,,,,,,14,0.7,16,3.7,30,1.2,18,0.9,10,2.7,28,1.2,0.4,5.2
Could not be ascertained,,,,,,,0,0,0,0,0,0,13,0.7,-,0,13,0.6,1,0.3
