STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,68,5315,12951,21499,22593,26162,37433,126021,4.54%
VIC,104,9143,22303,27540,23895,22450,24662,130097,6.11%
QLD,120,6442,14237,21249,22435,23947,26841,115271,6.72%
SA,1802,6982,6515,8785,9493,10368,13666,57611,8.98%
WA,82,7002,13876,17384,17316,16731,16978,89369,10.00%
TAS,20,1022,2149,2755,3271,3763,3681,16661,8.59%
NT,5,242,726,934,907,780,400,3994,4.58%
ACT,15,896,2248,2393,2143,1944,1776,11415,8.19%
TOTAL,2216,37044,75005,102539,102053,106145,125437,550439,6.42%
