STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,313700,22.29%,0.61%
VIC,339097,24.10%,1.02%
QLD,297550,21.15%,0.63%
SA,142674,10.14%,0.97%
WA,230202,16.36%,0.85%
TAS,43844,3.12%,0.60%
NT,10901,0.77%,1.79%
ACT,29160,2.07%,1.41%
TOTAL,1407128,100.00%,0.81%
