STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2020297,47.25%,-0.05%
VIC,440842,10.31%,-0.03%
QLD,623877,14.59%,-0.03%
SA,557215,13.03%,0.27%
WA,457036,10.69%,-0.14%
TAS,144556,3.38%,-0.20%
NT,7621,0.18%,-0.24%
ACT,24719,0.58%,-0.14%
TOTAL,4276163,100.00%,-0.02%
