STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,403697,22.40%,0.44%
VIC,451978,25.08%,0.28%
QLD,355476,19.73%,0.22%
SA,205098,11.38%,0.53%
WA,277730,15.41%,0.14%
TAS,54532,3.03%,0.15%
NT,13502,0.75%,0.10%
ACT,40129,2.23%,0.38%
TOTAL,1802142,100.00%,0.31%
