STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,132,5855,12148,19677,20860,24529,32678,115879,4.33%
VIC,170,9069,19054,23847,21451,20189,20783,114563,5.76%
QLD,150,6531,13410,19511,20589,22144,22889,105224,6.66%
SA,2290,5494,5260,7257,7867,8840,11091,48099,7.82%
WA,125,6317,11698,14960,14386,13830,13625,74941,9.28%
TAS,47,1014,1945,2544,3068,3357,3087,15062,8.00%
NT,5,200,630,741,728,609,290,3203,3.93%
ACT,22,808,1751,1949,1714,1568,1349,9161,7.11%
TOTAL,2941,35288,65896,90486,90663,95066,105792,486132,6.03%
