STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,283546,23.13%,0.32%
VIC,294154,23.99%,0.63%
QLD,266628,21.75%,0.42%
SA,117951,9.62%,0.97%
WA,192715,15.72%,0.74%
TAS,39057,3.19%,0.41%
NT,8587,0.70%,0.57%
ACT,23365,1.91%,0.60%
TOTAL,1226003,100.00%,0.56%
