STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,245,10731,25242,31577,30582,33258,36032,167667,6.10%
VIC,469,21179,37856,37430,30988,27449,24220,179591,8.66%
QLD,430,15323,29218,32273,31018,29066,24076,161404,10.10%
SA,2336,9294,10168,11589,11656,12310,12499,69852,10.99%
WA,282,14384,23907,24184,21802,18277,14938,117774,14.54%
TAS,102,2497,4017,4612,4789,4608,3370,23995,12.16%
NT,15,633,1471,1313,994,694,264,5384,7.55%
ACT,64,1760,3347,2968,2370,2098,1597,14204,10.67%
TOTAL,3943,75801,135226,145946,134199,127760,116996,739871,8.95%
