STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,82031,224759,247396,217169,144587,108369,1024311,37.27%
VIC,19851,69462,62371,51783,36435,26266,266168,12.83%
QLD,58924,81744,73037,48671,29747,16921,309044,19.34%
SA,31343,55487,58037,56325,40555,28716,270463,42.56%
WA,8477,51302,63782,57030,39026,28684,248301,30.66%
TAS,1905,14696,18581,18409,12380,10187,76158,38.61%
NT,453,1562,1705,1167,678,219,5784,8.11%
ACT,1176,3713,3617,3144,2233,1368,15251,11.46%
TOTAL,204160,502725,528526,453698,305641,220730,2215480,26.79%
