STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2079971,47.17%,-0.09%
VIC,463884,10.52%,-0.20%
QLD,640440,14.52%,-0.13%
SA,545501,12.37%,-0.13%
WA,491170,11.14%,-0.25%
TAS,152279,3.45%,-0.25%
NT,9763,0.22%,-0.54%
ACT,26457,0.60%,-0.18%
TOTAL,4409465,100.00%,-0.14%
