STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,339086,21.71%,0.39%
VIC,384227,24.60%,0.62%
QLD,321019,20.56%,0.39%
SA,165863,10.62%,0.83%
WA,257290,16.48%,0.47%
TAS,47568,3.05%,0.27%
NT,12701,0.81%,0.75%
ACT,33885,2.17%,0.78%
TOTAL,1561639,100.00%,0.51%
