Year ended,Category,Number of executives
2024,Total,2
2023,Total,2
2022,Total,2
2021,Total,2
2020,Total,2
2019,Total,2
2018,Total,3
2017,Total,3
2016,Total,3
2015,Total,3
2014,Total,3
2013,Total,3
