STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,157,6214,13374,21335,20995,24372,31481,117928,4.41%
VIC,196,8780,18369,23176,20776,19543,19689,110529,5.56%
QLD,176,6321,12316,17750,19350,21022,21545,98480,6.23%
SA,3024,4823,4653,6347,7066,8073,10224,44210,7.19%
WA,141,5864,10430,13212,13428,13076,12791,68942,8.54%
TAS,55,971,1718,2160,2823,3159,2858,13744,7.30%
NT,8,213,698,886,753,599,298,3455,4.24%
ACT,21,791,1583,1793,1619,1530,1244,8581,6.66%
TOTAL,3778,33977,63141,86659,86810,91374,100130,465869,5.78%
