STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,289744,24.77%,0.88%
VIC,282758,24.18%,1.60%
QLD,247016,21.12%,1.26%
SA,107419,9.18%,2.23%
WA,176300,15.07%,2.01%
TAS,35030,3.00%,1.86%
NT,9437,0.81%,2.11%
ACT,21867,1.87%,0.97%
TOTAL,1169571,100.00%,1.47%
