STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,4006,135571,224806,224307,181805,188059,958554,31.80%
VIC,4841,39303,62840,52061,41124,41681,241850,10.30%
QLD,4431,77739,80681,62223,39034,31834,295942,16.00%
SA,28256,60956,61025,59109,49880,50815,310041,45.00%
WA,1922,18394,50971,55104,44451,47421,218263,22.00%
TAS,559,4875,14976,16924,14686,16416,68436,32.90%
NT,157,618,1096,1050,633,352,3906,4.50%
ACT,611,2412,3778,3155,2275,2181,14412,9.30%
TOTAL,44783,339868,500173,473933,373888,378759,2111404,22.60%
