STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1969838,46.11%,-0.04%
VIC,425475,9.96%,0.01%
QLD,616815,14.44%,0.00%
SA,648524,15.18%,0.24%
WA,440220,10.30%,0.00%
TAS,139245,3.26%,-0.04%
NT,7104,0.17%,-0.07%
ACT,24727,0.58%,0.03%
TOTAL,4271948,100.00%,0.02%
