STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1284,135243,222864,228608,195853,227399,1011251,34.70%
VIC,1451,27762,43441,39446,32476,35291,179867,7.90%
QLD,1253,84551,90028,66623,41888,36528,320871,17.70%
SA,31305,66528,65107,61557,53189,60699,338385,50.80%
WA,668,15898,49967,54840,46131,53164,220668,21.80%
TAS,170,4232,15040,16765,15584,19018,70809,34.90%
NT,45,320,792,979,654,408,3198,3.20%
ACT,188,1268,2518,2514,1961,1866,10315,6.80%
TOTAL,36364,335802,489757,471332,387736,434373,2155364,23.60%
